Sample,Stiff_slope,Stiff_intercept,Stiff_rvalue,Stiff_rsquared,Stiff_stderr,Stiff_intercept_stderr
F1,1175.09329669832,-5107.106787882676,0.9941051741330706,0.9882450972381427,6.870050241459021,38.448666009073946
F2,1580.0195454672719,-8504.047277792288,0.9994947417988937,0.9989897388836373,1.5469366711219883,10.708502805381501
F3,1526.9243644368328,-7088.735450944123,0.9994800331635043,0.9989603366925197,1.6807115281438985,10.076908069753557
F4,2221.7462096334084,-10994.221286118089,0.9975595744033339,0.9951251044837606,6.473667001906358,38.07551212692834
E1,443.7571211605284,-1838.6116723079385,0.9967171207638161,0.9934450188237116,1.6824911900704709,9.776427714415215
E2,453.549341939888,-1891.4043100186632,0.9959841662335133,0.9919844593878666,1.9092205269685738,11.053152546282378
E3,598.9831766983251,-2739.4228455719604,0.9956094477732037,0.9912381724952636,2.094371967825672,12.543747119278347
E4,475.37326131165486,-1916.9911550075883,0.9974023149341376,0.9948113778359765,1.638544125269249,9.169290472554936
X1,372.6498738589468,-1544.1021328594707,0.9988092014963086,0.9976198209936936,0.5927443291410929,3.7690507744633757
X2,451.2887390158647,-1990.1487926295695,0.9971317218550056,0.9942716707295284,1.4699956042271811,8.989280183071873
X3,722.5683022198768,-3179.447426493658,0.9991969556340791,0.9983945561484118,0.9961854238961938,5.77642880017966
X4,577.9716842083137,-2428.1666349495044,0.9988441005674665,0.9976895372384312,0.9140139971065298,5.4459957134335
B1,14.827621232691358,-4.386793665006046,0.999346288308588,0.9986930039561515,0.01721404767159953,0.043428629457564545
B2,18.068335650553095,-23.649739346471264,0.9995919640407249,0.999184094574794,0.014603612398362994,0.06921242134178016
B3,15.320135854753058,-10.2579417904714,0.9995278561568739,0.9990559352335564,0.017863897036686845,0.059274098206180785
B4,16.413568296166545,-10.376584974935483,0.9996016622580978,0.9992034831891522,0.015525109000886356,0.054760749211028865
B5,17.04866143566539,-17.220010360953104,0.9997069726011936,0.9994140310674435,0.017914619981475036,0.07945652165228947
B6,16.361359778969106,-15.36266093296907,0.9995918921884368,0.9991839509288595,0.027600303573536066,0.09933028011012554
B7,16.974972560327267,-7.883162811980334,0.999815884052594,0.9996318020038701,0.016868456410091274,0.05821587704106737
B8,17.93302751043073,-13.455323027475245,0.9997141942163468,0.9994284701176395,0.020193377147170247,0.08202804304529106
B9,16.33744089384563,-9.091099058626575,0.999762403954727,0.9995248643613348,0.020953043295504025,0.06578829439811355
B10,17.9311483372641,-15.987651167312833,0.9998987977587793,0.9997976057594523,0.01197355754006438,0.05768092397200691
D1,6.521785889449212,-1.3951381489041772,0.9993695196283514,0.9987394367622019,0.018203933853871306,0.06625313735273276
D2,6.502730641883717,-0.3864789967416655,0.999878827118941,0.9997576689207492,0.006521453917335825,0.025522095236395315
D3,5.956688915018197,0.66053428325284,0.9989835923252295,0.9979682177350203,0.018038842220478243,0.06799571169578857
D4,5.4365364652371015,2.2886470731688764,0.9996155491420803,0.9992312460866227,0.011958712083825448,0.035298376236378964
D5,5.5245801002942905,1.6485655882100794,0.9996416641294357,0.9992834566634675,0.011151154238325632,0.03640854673825158
D6,5.85976489174974,1.0413531328819516,0.9990262852872298,0.9980535186948015,0.019674574253245408,0.06376545855945476
D7,6.492407103443901,-1.275377130778395,0.9998074535690733,0.9996149442122747,0.010011374203840517,0.046129453434912114
D8,5.981402609382283,0.41915302295849344,0.9992294667018705,0.9984595271253046,0.017760116349548213,0.06011665950226869
D9,6.496904062461457,-0.792585472403772,0.9996516528488391,0.9993034270434158,0.012098820720567298,0.04543208157591434
D10,5.59073809963796,1.0659711162636683,0.9992209408578286,0.9984424886488042,0.01610439101174951,0.057406758176373286
D11,6.005352281777769,0.3946703715326123,0.9997277185618538,0.9994555112608892,0.010115808331407227,0.03588336067158427
C1,0.6270823750412542,4.799205870078459,0.9736458954262287,0.9479863296803427,0.016320738189685383,0.022216567125085004
C2,0.36850042384531784,1.7360449407531786,0.9633357819512088,0.928015828787547,0.008865973012353236,0.017710257562865376
C3,1.4541308249177956,0.7579749501379354,0.9979666500888396,0.9959374346895403,0.006408818656663394,0.026372863666211374
C4,1.2125951599920353,1.2465392936400486,0.9969831585768512,0.9939754184858748,0.007534277718838375,0.027104705404631398
C5,1.1723186116751956,1.5223648454013121,0.996246052275291,0.9925061966741018,0.00879990112890506,0.023395591795681663
C6,2.1931808630736427,-0.4404987694026534,0.9983612426794751,0.9967251708845059,0.010033009651627928,0.04196023087659048
C7,1.1630371688143781,1.1217301038697634,0.99505753586196,0.9901394996756758,0.013972378175313728,0.03108340327281019
C8,1.848040146243379,-0.3698973580692444,0.9968716342076931,0.9937530550879167,0.012210255596634658,0.04977870204293403
C9,1.0872970880120834,1.6102722373524447,0.9945411409114394,0.9891120809654276,0.01613291742492373,0.025955468781800457
C10,1.268472767715986,1.728789928291873,0.99597548923899,0.9919671751648456,0.012168171151045135,0.02273114924663044
C11,1.4438501007466333,0.41013631866101363,0.9970466524900419,0.9941020272415984,0.010068808791210191,0.03434668476820705
G1,1528.337915174953,-7530.017323711255,0.9982832657711461,0.9965694787187047,4.1143274218525105,24.332781955791052
H1,1881.7632289036105,-10609.121174784193,0.9925881801617223,0.9852312953967598,6.51125818145577,45.47162587540068
I1,8678.490155923562,-48173.96700466327,0.9996943340547879,0.9993887615412459,3.4803195235790283,21.69253236998159
J1,1498.6232230051721,-6722.6778858793605,0.9941026355440045,0.9882400499955357,6.467159046725991,35.38105948575007
K1,7282.031240041335,-42437.1739741817,0.9989585628801229,0.9979182103515204,5.759377786738213,37.994808883563394
L1,8.905398960305723,-8.14526676032409,0.9992547407978495,0.9985100370069774,0.007654013419621329,0.02018847912122232
L2,9.163051983711735,-5.159320560713802,0.9981675505539246,0.9963384589788216,0.02514541132479903,0.06522845757425554
L3,8.436566277692338,-3.434706313518051,0.9990363114969052,0.9980735516893414,0.01590608191359086,0.030957002375965246
L4,9.329584146419187,-3.946410350388309,0.9994800268450355,0.9989603240621527,0.018811229418874288,0.044454256080369695
L5,9.643128969348108,-4.023152508260662,0.9987704561838953,0.9975424241457862,0.02796223899420968,0.06654443606139636
L6,10.211173691130403,-5.76392721188315,0.9985008779422755,0.997004003251495,0.03613202154235294,0.09200591589833106
L7,10.14302424369718,-4.9858719009831916,0.9984149567907883,0.9968324259435516,0.03479668660714562,0.0865025025207849
L8,9.98775715635648,-4.695502636978002,0.9985712461523047,0.9971445336421668,0.031171218299325985,0.07796015421331877
L9,9.051214705537774,-2.4295445563790654,0.9992969821595762,0.9985944585532364,0.02040300964809266,0.036793308252132596
L10,8.780277325146718,-1.7769396409798883,0.9995904366083467,0.9991810409588652,0.014995607751608232,0.027001118074622077
L11,8.842678201097971,-2.8692578982312753,0.9989757429222162,0.9979525349469939,0.02479230311522723,0.05062036145253596
L12,9.72913604107575,-3.5307639098643726,0.998809326228721,0.9976200701614716,0.03255996748728254,0.07467436602969595
